date,p10,p25,p50,p75,p90
2025-12-16,0.301182,0.403144,0.479785,0.493628,0.610446
2025-12-17,0.301182,0.401794,0.475733,0.492952,0.610446
2025-12-18,0.301182,0.400443,0.471007,0.492952,0.610446
2025-12-19,0.301857,0.399093,0.467293,0.492952,0.610446
2025-12-20,0.302195,0.397405,0.463917,0.492952,0.610446
2025-12-21,0.302532,0.395716,0.460540,0.492277,0.610446
2025-12-22,0.308609,0.394028,0.455645,0.491602,0.610446
2025-12-23,0.314687,0.393016,0.450074,0.490927,0.609770
2025-12-24,0.318401,0.391327,0.445010,0.490251,0.608420
2025-12-25,0.319413,0.389639,0.440283,0.490251,0.608420
2025-12-26,0.319413,0.388289,0.436400,0.490251,0.607745
2025-12-27,0.318738,0.387614,0.435894,0.491602,0.607069
2025-12-28,0.316375,0.388626,0.435894,0.493965,0.607069
2025-12-29,0.314349,0.389977,0.436907,0.498354,0.607069
2025-12-30,0.313336,0.390483,0.438257,0.501393,0.606394
2025-12-31,0.312661,0.390990,0.438257,0.503756,0.606394
